153,11
totalDiagnosticErrors_per_differentSlugs,totalTestsPassed_per_totalTestsRan,commitsStyleOK_per_totalCommits,differentSlugs_per_differentCourses,totalCommits,totalTestsRan,totalTestsPassed,totalDiagnosticErrors,differentSlugs,differentCourses,commitsStyleOK,averageGrade
87.0,0.7593224969266493,0.2727272727272727,22.0,275,7321,5559,1914,22,1,75,71.41272727272727
88.8695652173913,0.6781738990159704,0.16996047430830039,23.0,253,6199,4204,2044,23,1,43,64.4491304347826
164.3181818181818,0.6324894514767933,0.17026378896882494,22.0,417,9480,5996,3615,22,1,71,80.36181818181818
106.47619047619048,0.7882554650664381,0.16560509554140126,21.0,157,4666,3678,2236,21,1,26,83.27761904761904
136.11111111111111,0.8259023354564756,0.17647058823529413,4.5,102,3768,3112,1225,9,2,18,98.849
55.31818181818182,0.7294367193023804,0.3216374269005848,22.0,171,4243,3095,1217,22,1,55,83.96863636363636
121.66666666666667,0.7177482408131353,0.168,24.0,250,6395,4590,2920,24,1,42,76.48958333333333
180.6315789473684,0.654481546572935,0.15151515151515152,19.0,297,8535,5586,3432,19,1,45,66.05631578947369
108.0909090909091,0.7975006375924509,0.25949367088607594,22.0,158,3921,3127,2378,22,1,41,82.64818181818181
66.0,0.5731171901384667,0.6476190476190476,2.0,105,2961,1697,264,4,2,68,67.462
177.0,0.7741470979175897,0.12129380053908356,25.0,371,9028,6989,4425,25,1,45,78.7828
159.6818181818182,0.7099903006789525,0.10276679841897234,22.0,253,5155,3660,3513,22,1,26,70.7209090909091
53.578947368421055,0.7751845202473568,0.43548387096774194,19.0,186,5013,3886,1018,19,1,81,86.48105263157895
80.95454545454545,0.8115200528139958,0.271889400921659,22.0,217,6059,4917,1781,22,1,59,78.51954545454545
10.0,0.8888888888888888,0.3333333333333333,1.0,3,27,24,10,1,1,1,100.0
206.625,0.7923142130545352,0.09967845659163987,24.0,311,7078,5608,4959,24,1,31,81.28083333333333
59.111111111111114,0.7223127035830619,0.35294117647058826,27.0,306,7368,5322,1596,27,1,108,83.97666666666666
45.333333333333336,0.5,0.125,3.0,8,58,29,136,3,1,1,27.036666666666665
79.3,0.7389997267012846,0.33064516129032256,20.0,124,3659,2704,1586,20,1,41,85.0
165.84,0.7516474464579901,0.17616580310880828,25.0,193,4856,3650,4146,25,1,34,69.3128
117.13636363636364,0.7913294797687861,0.4409090909090909,22.0,220,5190,4107,2577,22,1,97,81.0909090909091
67.4,0.7942942942942943,0.22857142857142856,10.0,35,666,529,674,10,1,8,60.835
42.476190476190474,0.8384214445271779,0.3089430894308943,21.0,123,2686,2252,892,21,1,38,89.68238095238095
90.92592592592592,0.8017178929938943,0.2586750788643533,27.0,317,9663,7747,2455,27,1,82,80.4937037037037
59.18181818181818,0.625,0.18421052631578946,11.0,76,1392,870,651,11,1,14,64.02
121.54166666666667,0.6160407383831954,0.15328467153284672,24.0,274,7855,4839,2917,24,1,42,78.47333333333333
143.58333333333334,0.83589329021827,0.1566265060240964,12.0,83,2474,2068,1723,12,1,13,85.74833333333333
12.521739130434783,0.8980132450331125,0.5730337078651685,23.0,89,2265,2034,288,23,1,51,91.30434782608695
65.66666666666667,0.7552612481857764,0.4512820512820513,21.0,195,5512,4163,1379,21,1,88,96.55857142857143
224.73684210526315,0.863855421686747,0.04195804195804196,19.0,143,4150,3585,4270,19,1,6,58.99157894736842
80.33333333333333,0.8285024154589372,0.16666666666666666,6.0,18,414,343,482,6,1,3,93.91000000000001
118.34615384615384,0.7979575490588706,0.18333333333333332,26.0,180,4994,3985,3077,26,1,33,84.61538461538461
502.6666666666667,0.7497628083491461,0.08709677419354839,24.0,310,8432,6322,12064,24,1,27,78.9475
81.77272727272727,0.8867226890756302,0.17857142857142858,22.0,112,2975,2638,1799,22,1,20,86.36363636363636
22.61904761904762,0.8989460632362059,0.3611111111111111,21.0,72,1613,1450,475,21,1,26,84.66047619047619
158.625,0.6927741283476503,0.0,8.0,55,1979,1371,1269,8,1,0,93.88
79.71428571428571,0.7063137184761223,0.35319148936170214,21.0,235,5591,3949,1674,21,1,83,72.90190476190476
293.0,0.14634146341463414,0.0,2.0,12,205,30,586,2,1,0,30.0
113.33333333333333,0.46256239600665555,0.058823529411764705,6.0,51,1202,556,680,6,1,3,63.596666666666664
140.7826086956522,0.8550272798129385,0.28888888888888886,23.0,180,3849,3291,3238,23,1,52,82.6086956521739
154.71428571428572,0.7116663670681287,0.15789473684210525,21.0,247,5563,3959,3249,21,1,39,78.64380952380952
156.25,0.5771028037383178,0.10344827586206896,4.0,29,428,247,625,4,1,3,67.34
28.15,0.8690773067331671,0.25555555555555554,20.0,90,2406,2091,563,20,1,23,79.4875
112.25,0.6469307792773182,0.36079545454545453,16.0,352,9188,5944,1796,16,1,127,89.938125
37.333333333333336,0.8684768773865083,0.24489795918367346,21.0,98,2357,2047,784,21,1,24,86.97333333333333
145.79166666666666,0.7410348021701734,0.21235521235521235,24.0,259,7557,5600,3499,24,1,55,81.22875
64.4090909090909,0.7806744797895241,0.3333333333333333,22.0,162,4181,3264,1417,22,1,54,58.315909090909095
349.0,0.6898059579119978,0.1553398058252427,9.0,103,3659,2524,3141,9,1,16,36.22222222222222
35.0,0.677277716794731,0.28888888888888886,6.0,45,911,617,210,6,1,13,87.65666666666668
84.42105263157895,0.7382471060713443,0.16535433070866143,19.0,127,4233,3125,1604,19,1,21,70.45
47.23529411764706,0.7371820750908357,0.2871287128712871,17.0,101,2477,1826,803,17,1,29,59.96941176470588
87.91304347826087,0.7872849989113869,0.14201183431952663,23.0,169,4593,3616,2022,23,1,24,77.65826086956523
86.4375,0.6432015429122468,0.09473684210526316,16.0,95,2074,1334,1383,16,1,9,62.241875
216.13636363636363,0.7355838887279049,0.13688212927756654,22.0,263,6902,5077,4755,22,1,36,78.80545454545455
8.0,0.1111111111111111,0.0,1.0,1,9,1,8,1,1,0,11.11
61.5,0.42606682103870325,0.3353658536585366,22.0,164,3023,1288,1353,22,1,55,50.48636363636364
54.63636363636363,0.8185224839400428,0.3148148148148148,22.0,162,3736,3058,1202,22,1,51,85.50090909090909
68.5,0.8554900181488203,0.2907801418439716,18.0,141,4408,3771,1233,18,1,41,91.66944444444444
71.95454545454545,0.8012940930912127,0.20359281437125748,22.0,167,4791,3839,1583,22,1,34,81.39136363636364
35.5625,0.817867932671558,0.5263157894736842,16.0,95,2317,1895,569,16,1,50,90.63
60.2,0.7000797660196756,0.49206349206349204,20.0,126,3761,2633,1204,20,1,62,68.382
54.15,0.7891672994178689,0.43440233236151604,10.0,343,7902,6236,1083,20,2,149,95.0
61.4,0.8247602441150829,0.4594594594594595,10.0,74,1147,946,614,10,1,34,87.143
63.25,0.8098918083462133,0.1891891891891892,8.0,37,1941,1572,506,8,1,7,39.615
47.0,0.5389876880984952,0.4,2.0,20,731,394,94,2,1,8,47.66
